Singer,Title,Lyrics
2PM,10점 만점에 10점,"Oh Yepp JYP 느껴져 어
It's Time Introducing 2PMmmmmm

That girl 너무 예뻐 Oh my god 기가 막혀 
이건 본 적이 없는 그런 아름다움이야
말로 설명해도 알아듣지 못할거야 
책 속에서나 볼 수 있는 꿈 속에서나 만나보는
그런 여자란 말야 날이면 날마다 오지 않아 

뒷모습이 너무 사람을 괴롭게 해 
착한 나를 자꾸 나쁜 맘을 먹게 해
이건 참을 수가 없어 정말 너무나 괴로워 
영화 미녀는 괴로워를 볼 때 보다 더 괴로워

그녀의 입술은 맛있어 입술은 맛있어 (10점 만점에 10점)
그녀의 다리는 멋져 다리는 멋져 (10점 만점에 10점)
그녀의 날리는 머릿결 날리는 머릿결 (10점 만점에 10점)
그녀는 머리에서 발끝까지 모두 다 (10점 만점에 10점)

나를 보고 웃는데 (10점) 말하는 목소리가 (10점)
만나면 만나 볼 수록 어쩜 빈틈이 없어 Yes sir, Yes sir

그녀 때문에 정말 미쳤어 하루라도 안 볼 수가 없어
어제 너무 바빠 하루 쉬었어 그러자 입에 가시가 돋쳤어 Oh

뒷모습이 너무 사람을 괴롭게 해 
착한 나를 자꾸 나쁜 맘을 먹게 해
눈이 떨어지질 않아 정말 말이 되질 않아 
이건 야한 만화영화 보다 더 야한 것 같아

그녀의 입술은 맛있어 입술은 맛있어 (10점 만점에 10점)
그녀의 다리는 멋져 다리는 멋져 (10점 만점에 10점)
그녀의 날리는 머릿결 날리는 머릿결 (10점 만점에 10점)
그녀는 머리에서 발끝까지 모두 다 (10점 만점에 10점)

라라 랄랄라 랄라 Pretty baby 
라라 랄랄라 랄라 Be my lady
라라 랄랄라 랄라 Pretty baby
라라 랄랄라 랄라 Be my lady

라라 랄랄라 난 빠졌잖아 그녀 없이 사는 건 해보나마나
그녀가 주는게 너무나 많아 
내 입에서 미소가 끊이질 않아
그녀 없인 사나 마나 그럼 이제 나는 어떻게 하나
에라 모르겠다 이대로가 좋다 
그녀가 술이면 취해 버리련다

그녀의 입술은 맛있어 입술은 맛있어 (10점 만점에 10점)
그녀의 다리는 멋져 다리는 멋져 (10점 만점에 10점)
그녀의 날리는 머릿결 날리는 머릿결 (10점 만점에 10점)
그녀는 머리에서 발끝까지 모두 다 (10점 만점에 10점)

Haha (10점 만점에 10점)
You know what it is (10점 만점에 10점)
It’s JYP (10점 만점에 10점)
And 2PM baby (10점 만점에 10점)"
2PM,기다리다 지친다,"기다리다 지친다... U Know? 
기다리다가 지친다
U Know 넌 넌 내맘아니? 
기다리다가 또 지친다
너는 아직도 날 기억하니? oh~Know
하루가 지나도 난 너를 못 잊어 
한달이 지나도 난 너를 못 놔줘 
아직도 널 원한 내 맘을 아니? oh~Know~
너를 기다리다 지쳐 미치고 
또 하루하루 매일같이 일년이 같고
오 난 나 나 나~ 기다리다가 널 기다리다가 yeah~

금방이라도 니가 다시 올 것만 같고. 
뒤돌아서면 다시 너를 볼 것만 같아
오 난 나 나 나~ 지쳐 미치고 난 지쳐 미치고 yeah~

니가 올까 봐 또 참는다 oh~yeah
너를 아직도 난 기다린다 oh~yeah

한달이 지나도 난 너를 못 잊어 
일년이 지나도 난 너를 못 놔줘
아직도 널 원한 내맘을 아니? oh~Know~
너를 기다리다 지쳐 미치고 
또 하루하루 매일같이 일년이 같고
오 난 나 나 나~ 기다리다가 널 기다리다가 yeah~
금방이라도 니가 다시 올것만 같고 
뒤돌아서면 다시 너를 볼 것만 같아
오 난 나 나 나~ 지쳐 미치고 난 지쳐 미치고 yeah~

왜 이렇게 난 자꾸 힘든데 머릿속이 
복잡해 죽겠네 기다리고 기다리던 나인데 
아직도 소식이 없는데
너 땜에 울던 내가 아닌데 나 땜에 떠날 니가 아닌데 
어째서 이런 내가 힘든데 어떡해 지금 너무 힘든데

일년이라도 난 기다릴거야 십년이 가도 난 기다릴거야
오 난 난 난 난 난 난 난 난 
기다리다가 난 지쳐도 좋아
너를 기다리다 지쳐 미치고 
또 하루하루 매일같이 일년이 같고
오 난 나 나 나~ 기다리다가 널 기다리다가 yeah~
금방이라도 니가 다시 올것만 같고 
뒤돌아서면 다시 너를 볼것만 같아
오 난 나 나 나~ 지쳐 미치고 난 지쳐 미치고 yeah~"
2PM,너에게 미쳤었다,"She’s gone gone
She’s gone gone
She’s gone gone
She’s gone gone
니가 일어선다 
잡는 내 손도 뿌리친다 
아직 사랑한단 말 목에 걸려서 
인사조차 못했다
돌아선 니 모습에 
온 세상이 다 흐려진다 
다 부서져간다 사랑했던 날들 전부다
난 너에게(I’m sorry girl) 
미쳤었다( I’m so sorry girl) 
그 말도 못한 채 널 보냈다
그녀가(I’m sorry girl) 
멀어진다(I’m so sorry girl) 
사랑이 내게 이럴 순 없다
힘들다 지쳤다 
결국 그 말들로 다 끝냈다 
진짜 사랑했다면 보내달란 말 
하나도 안 들린다
돌아선 니 모습만 
계속 내 두 눈에 박힌다 
다 부서져간다 
사랑했던 날들 전부다
난 너에게(I’m sorry girl) 
미쳤었다(I’m so sorry girl) 
그 말도 못한 채 널 보냈다
내 그녀가(I’m sorry girl) 
멀어진다(I’m so sorry girl) 
사랑이 내게 이럴 순 없다
How will I ever know? 
Why should I let you go? 
왜? Why? What about our love
Can’t let go you’ve ripped my heart oh no 
간다고 안 된다고 말조차 못하고
그저 바라본 바보라고 욕해도 늦었고 
하루 미쳐가는 날 너를 
못 잊고 사는 날 감당할 수 가 없어 
그래 난 네게 미쳤어
난 너에게(I’m sorry girl) 
미쳤었다(I’m so sorry girl)
그 말도 못한 채 널 보냈다
내 그녀가(I’m sorry girl) 
멀어진다(I’m so sorry girl) 
사랑이 내게 이럴 순 없다"
2PM,미친거 아니야?,"아니, 미친거 아니야?
금요일 밤이 되니까
12시가 되도 나 잠 못 자겠어 다 날 부르니까

아니, 미친거 아니야?
밤이야? 밤이 아니야?
길거리부터 클럽에 세상에 모두 여자들이야

끌리는 너의 향기에 너의 몸짓에 
그런 눈빛에 난 (미쳐 버려 귓가에)
귓가에 속삭여줘 너의 목소리에 
숨 소리는 거칠어져가 하 

미친거 아니야?
오늘밤 미치려고 작정한 놈들이야
오늘만 미치도록 달리잔 말이야
미친거 아니야?
미친 사람들 (Crazy)
Go Crazy (Go Crazy)
Go Crazy (Go Crazy)
Go Crazy (Go Crazy)

아니, 미친거 아니야? 
아직도 끝이 아니야
이 자식 2차 가자고 달려보자 
난리도 아니야

아니, 미친거 아니야? 아직 사람들이다
다들 모두 모여(서) 하나되어(서) 
미쳐가니까

Everybody just drop it like it’s hot
함께하니 즐거워지잖아 
아주 어지러운 몽롱함에서
벗어나긴 너무 이르잖아

청춘은 젊음의 복
고충은 젊음의 독
내일은 없어 Noday But Today

저 사람들의 손짓
그 젊음 속의 외침
내 가슴 점점 더 뜨거워 
Going Crazy Baby 

Clap ya hands everybody 
E'rbody getting all crazy
(Everybody knows it u can’t stop it baby)

아니, 미친거 아니야?
오늘밤 미치려고 작정한 놈들이야
오늘만 미치도록 달리잔 말이야
미친거 아니야?
미친 사람들 (Crazy)
Go Crazy (Go Crazy)
Go Crazy (Go Crazy)
Go Crazy (Go Crazy)"
2PM,우리집,"Take you home tonight
Take you home tonight Ooh
니가 나타나서 나에게 무관심인 척 아닌 척 하는 게
좀 그래 그래 그래 그래 니 맘은 안그래 안그래 안그래
내게 눈빛을 줬다 뺐다 다 보이는 니 속 맘에 나는
그래 그래 그래 그래 Oh yeah
I wanna take her to my house
It’s alright우리 집으로 가자 (woo 우리 집으로)
It’s alright 단 아무도 모르게 (아무도 몰래)
10분 뒤에 저 앞에서 너를 기다리고 있을게
It’s alright 우리 집으로 가자 (우리 집으로)
우리 집으로 우리 집으로
I wanna take you to my house 날 따라와
이 시끄러운 곳을 아무도 몰래 빠져나가
나쁜맘은 없어 널 조금 더 깊이 알고 싶어
그 아주 부드러운 음악 속 너와 헤매고 싶어
니 눈빛과 몸짓 다 니가 하는 말보다 빨라
I know you want me too (니 맘을 숨기지마)
You know I want it too (You don’t wanna waste your time)
It’s alright우리 집으로 가자 (woo 우리 집으로)
It’s alright 단 아무도 모르게 (아무도 몰래)
10분 뒤에 저 앞에서 너를 기다리고 있을게
It’s alright 우리 집으로 가자 (우리 집으로)
우리 집으로 너를 데리고 가는 길에나도 몰래 미치겠어
I Go (I Go) You Go (You Go)We Go (We Go) Baby
(One more time)
우리 집으로 니손을 꼭 잡고 올라가는 이 길에 난 미치겠어
I know (I know) You know (You know) 
Weknow (We know) Baby
It’s alright우리 집으로 가자
It’s alright단 아무도 모르게 
10분 뒤에 저 앞에서 너를 기다리고 있을게
It’s alright우리 집으로 가자
It’s alright우리 집으로 가자 (우리 집으로)
It’s alright 단 아무도 모르게 (단 아무도 모르게 Baby)
10분 뒤에 저 앞에서 (저 앞에서) 너를 기다리고 있을게 (너를 기다릴게)
It’s alright우리 집으로 가자 (우리 집으로)"
2PM,Again & Again,"JYP
2PM

Again & Again & Again & Again

Again & Again & Again & Again

Listen 
이렇게 왜 내가 또 너의 집 앞에 또 
서있는건지 대체 난 바본지 
정말 속고 또 속고 또 당하고 또 당해도 또 
다시 이 자리에 와있는지

(내가 미쳤나봐) 자존심도 없는지 
(너에게 돌아와) 쳇바퀴 돌듯이
이럼 안 되는데 (되는데 되는데)
하면서 오늘도 이러고 있어 NO

Again & Again & Again & Again
너에게 자꾸 돌아가 왜 그런지 몰라 왜 그런지 몰라

Again & Again & Again & Again
너의 말에 또 속아 왜 그런지 몰라 왜 그런지 몰라

어쩜 이렇게도 바보 같니 내가 내가 왜 이렇게 된거니
난 분명히 결심을 했는데 하고 또 했는데 
왜 너에게 자꾸 돌아오는지

(내가 미쳤나봐) 자존심도 없는지 
(너에게 돌아와) 쳇바퀴 돌듯이 
절대 안 볼거라 (볼거라 볼거라)
하면서 다시 또 이러고 있어 Oh no

Again & Again & Again & Again
너에게 자꾸 돌아가 왜 그런지 몰라 왜 그런지 몰라

Again & Again & Again & Again
너의 말에 또 속아 왜 그런지 몰라 왜 그런지 몰라

넌 대체 어떤 약이길래 끊을 수가 없어 나도 몰래 
자꾸 너를 그리워하고 결국엔 또 찾고 
나쁜 여자인줄 알면서 난 또 널 품에 안고 사랑을 해 
보나마나 뻔히 다가올 내일의 아픔을 다 알고 있으면서
돌아서질 못해 결정을 못 내려 

젠장 나 왜 이러니 왜 이 여자 옆에 누워있니 
도대체 몇 번째 이 짓을 더 해봐야 내가 정신을 차릴런지 
누가 좀 날 어디에다 묶어줘 어서 제발 
She’s a bad girl I know (know) 
But here I go again oh no 

Again & Again & Again & Again (Again)
너에게 자꾸 돌아가 (I'm going back to you) 
왜 그런지 몰라 (몰라) 왜 그런지 몰라 (몰라)

Again & Again & Again & Again (자꾸 돌아가)
너의 말에 또 속아 (나도 왜 내가) 
왜 그런지 몰라 (몰라) 왜 그런지 몰라 (몰라)

Oh 
Oh 
Yeah"
2PM,I'll Be Back,"I’ll be back 
넌 다시 나를 찾을거야 
그때 다시 내가 올거야
그 누구도 너를 나보다 사랑 할순 없기에
 
갑자기 이럼 어떡해 
난 어떻게 하란 말야 네가 도대체 
어떻게 이래 난 네가 날 
영원히 사랑할거란 말 믿었단 말야 
약속했잖아 영원히 변하지 말자고 
우리는 분명 맺어진 짝이라고
분명히 맞다고 네가 그렇게 얘기했잖아
I’ll be back 
넌 다시 나를 찾을거야 
그때 다시 내가 올거야
그 누구도 너를 나보다 사랑 할순 없기에
You’ll be back 
너는 다시 돌아 올거야 
그래서 널 보내는거야
나는 알아 네가 나 없인 못산단것을 
I’ll be back
넌 난 우린 헤어질수가 없어 
네가 착각을 하나봐 이건 누구나 
한번쯤 겪는 고비일 뿐이야 정신차려
다시 생각해 아무리 말을 해 줘봐도 
이미 넌 말을 듣지 않아 
메아리로 돌아오잖아 
I’ll be back 
넌 다시 나를 찾을거야 
그때 다시 내가 올거야
그 누구도 너를 나보다 사랑 할순 없기에
You’ll be back 
너는 다시 돌아 올거야 
그래서 널 보내는거야
나는 알아 네가 나 없인 못산단것을 
 
Listen baby girl 그래 돌아서줄게 
멋지게 남자답게 
놓아줄게 그리고 널 귀찮게 하지 않게 말 없이 저 뒤에서
죽은 듯이 서서 바라볼게 너는 모르게 그냥 멀리서 
아주 많이 떨어져서 나의 존재를 네가 완전히 잊어버리게
But you better know that I’m not giving you away
Will I ever stop waiting no way
It’ll be the same in my world 
I’m your boy You’re my girl
잠깐 그댈 보내지만 난 네가 다시 돌아올거란
걸 알아 그러니 걱정 말아 네가 쓰러질때 
I’ll be back
 
I’ll be back 
넌 다시 나를 찾을거야 
그때 다시 내가 올거야
그 누구도 너를 나보다 사랑 할순 없기에
You’ll be back 
너는 다시 돌아 올거야 
그래서 널 보내는거야
나는 알아 네가 나 없인 못산단것을 
I’ll be back"
2PM,My Color,"It’s another JYP

My(color) is a(color)
you can never forget
한 번만 빠지면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 느끼면 넌 큰일나 큰일나 큰일나 큰일나

(ready to go) 준비됐나요 내 손을 잡고
함께 나가 저기 dance floor 무대위로
나를 믿고 모두 맡겨요 걱정은 뒤로 한 채
어서 내게로 다가와요

(리듬에 맞춰) 나와 함께 흔들려요
그대 필요한 건 다 줄 수 있어요
(come one step closer)한 걸음 더 가까이
이리 와서 나를 느껴봐 어서

My(color) is a(color)
you can never forget
한 번만 빠지면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 느끼면 넌 큰일나 큰일나 큰일나 큰일나

너에게 보여주고 싶어 나만의 color
그러니 기횔 줘 (gimme a chance)
나에게 기횔 줘(feel me)

어디서도 느껴보지 못 한 기분들로
가득 채워줄게
그러니 어서 내게 기회를 줘

(리듬에 맞춰) 조금씩 날 느껴봐요
눈을 감고 나의 향기에 취해요
(come one step closer)너의 몸을 가까이
이리 내 곁으로 가져와 어서

My(color) is a(color)
you can never forget
한 번만 빠지면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 느끼면 넌 큰일나 큰일나 큰일나 큰일나

넌 이미 내게 빠지고 있어
나의 color에 물들어 가고 있어

너도 모르게 It’s spreading all over
your body and you can’t resist

이제 너는 나의 color 에
조금씩 조금씩 물들어
한 번 빠져들면 큰일나
이제 나도 몰라 내가 분명히 경고했잖아
내가 얼마나 위험한지
나도 내가 너무 무서워 두려워
하지만 아무리 자제해보려고 해봐도
이놈의 color 참기가 너무 어려워

My(color) is a(color)
you can never forget
한 번만 빠지면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 느끼면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 빠지면 넌 큰일나 큰일나 큰일나 큰일나

My(color) is a(color)
you can never forget
한 번만 느끼면 넌 큰일나 큰일나 큰일나 큰일나"
가호 (Gaho),시작,"새로운 시작은 늘 설레게 하지
모든 걸 이겨낼 것처럼
시간을 뒤쫓는 시계바늘처럼
앞질러 가고 싶어 하지
그어 놓은 선을 넘어
저마다 삶을 향해
때론 원망도 하겠지
그 선을 먼저 넘지 말라고
I can fly the sky
Never gonna stay
내가 지쳐 쓰러질 때까진
어떤 이유도
어떤 변명도
지금 내겐 용기가 필요해
빛나지 않아도 내 꿈을 응원해
그 마지막을 가질 테니
부러진 것처럼 한 발로 뛰어도
난 나의 길을 갈 테니까
지금 나를 위한 약속
멈추지 않겠다고
또 하나를 앞지르면
곧 너의 뒤를 따라잡겠지
원하는 대로
다 가질 거야
그게 바로 내 꿈일 테니까
변한 건 없어
버티고 버텨
내 꿈은 더 단단해질 테니
다시 시작해
Ah-ah-ah-ah-ah-
Ah-ah-ah-ah-ah-ah-
Ah-ah-ah-ah-ah-
Ah-ah-ah-ah-
다시는 나를 잃고 싶지 않아
내 전부를 걸었으니까
원하는 대로
다 가질 거야
그게 바로 내 꿈일 테니까
변한 건 없어
버티고 버텨
내 꿈은 더 단단해질 테니
다시 시작해
Ah-ah-ah-ah-ah-
Ah-ah-ah-ah-ah-ah-
Ah-ah-ah-ah-ah-
Ah-ah-ah-ah-"
곽진언,시청 앞 지하철 역에서,"시청 앞 지하철 역에서 너를 다시 만났었지
신문을 사려 돌아섰을 때 너의 모습을 보았지
발 디딜 틈 없는 그곳에서 너의 이름을 부를 땐
넌 놀란 모습으로 음음음

너에게 다가가려 할 때에 난 누군가의 발을 밟았기에 
커다란 웃음으로 미안하다 말해야 했었지

살아가는 얘기 변한 이야기 지루했던 날씨 이야기 
밀려오는 추억으로 우린 쉽게 지쳐갔지 

그렇듯 더디던 시간이 우리를 스쳐 지난 지금 
너는 두 아이의 엄마라며 엷은 미소를 지었지 

나의 생활을 물었을 때 나는 허탈한 어깨짓으로 
어딘가에 있을 무언가를 아직 찾고 있다 했지 

언젠가 우리 다시 만나는 날에 
빛나는 열매를 보여준다 했지 
우리의 영혼에 깊이 새겨진 
그날의 노래는 우리 귀에 아직 아련한데 

가끔씩 너를 생각한다고 들려주고 싶었지만 
짧은 인사만을 남겨둔 채 너는 내려야 했었지 

바삐 움직이는 사람들 속에 
너의 모습이 사라질 때 오래 전 
그날처럼 내 마음에는 

언젠가 우리 다시 만나는 날에 
빛나는 열매를 보여준다 했지 
우리의 영혼에 깊이 새겨진 
그날의 노래는 우리 귀에 아직 아련한데 

라라라라라라라라"
